FILM	DATE	DIRECTOR	ATROCITY, GENOCIDE	DATA STATE	LANGUAGE	DURATION	PRODUCER	COUNTRY	ACQUIRED	LINKS	COMMENTS	PERP REPR	PERP GROUPS	PERP GENDER	VIOLENCE RATIONALE/CAUSES	COLLABORATOR GROUPS	VICTIM REPR	VICTIM GROUPS	VICTIM GENDER INTERVIEWS	SEXUAL VIOLENCE	DOC TYPE	RATINGS	AWARD
Kampucheas junglekrig - Besøg hos Khmer rouge partisanerne (The Jungle War in Kampuchea)	1981	Peter Bischoff	Cambodia	0	Danish	40		Denmark			[on the post-1979 guerilla war, but also immediate aftermath of genocide]												
Cambodia: The Prince and the Prophecy	1986	James G. Gerrand	Cambodia	0	en	78		Australia	FILE		[on Sihanouk with long interviews; only briefly mentions KR atrocities; v-o says that the Vietnamese invasion "the end of Pol Pot's rule did not bring an end to the suffering of Cambodia" followed by Sihanouk claiming that "our people becomes slaves of Moscow and of Hanoi" [sic] and talks about Vietnamese imperialism and colonialism, but says he is not "a man of factions" and "I want to be the man of national unity"]												
Cambodia/Kampuchea	1987	James G. Gerrand	Cambodia	0	en	57		Australia			opens with title card displayed over empty Phnom Penh then v-o gives brief summary of end of civil war and KR takeover of Phnom Penh while footage continues; then Sihanouk interview in Engl. who says that Buddhist monks' predictions of empty cities and famine have come true, mentions his own "stay with the Khmer Rouge" who used him as "figurehead", v-o interrupts briefly to intro Sihanouk, back to Sihanouk who says he saw no killing but "I saw the misery of my people" and says "I would like to soften the regime but the Khmer Rouge did not listen to me" and he resigned and was put under house arrest; then propaganda film of collective work on damn/reservoir with English v-o using "we" for Khmer Rouge talks about rebuilding the country, brief image of "comrade Pol Pot", then the doc's v-o takes over and talks about "massive irrigation works" for rice on which KR build their military power, some footage of Pol Pot digging in ground; then Sihanouk who says Pol Pot and Ieng Sary says their motivation is not of "ideological nature" but "personal ambition"; then Pol Pot interview footage from Yugoslav film with v-o briefly giving provenance of interview, then another female v-o talks about Pol Pot's self-described biography as originating from parents who were farmers and then went to live in a Buddhist temple for 6 years, and 2 years as a monk, as acc. to tradition; back to Sihanouk who says Pol Pot came from a "very bourgeois" family and points out the "hypocrisy" of Pol Pot's wanting to build a country only of non-bourgeois but themselves; v-o talks about bourgeoisie being the "main enemy" of KR and were hit the "hardest" and "the last to be fed and the first to be called away for execution" (with shots alternating between farmers working and corpses by the roadside); then v-o asks why cities were emptied and the middle classes crushed; v-o says that KR "had come to power too soon" and "had little support" when coming to power and "now they trusted no one except peasants and fighters who trusted them blindly" and says that KR were "far more brutal in areas where the communist party had no established roots" and opposite where they were more secure, all over propaganda footage; more propaganda footage with KR revolutionary song in background and an English v-o clearly partial to KR talks about KR having crushed "imperialist" Americans, then doc's own v-o takes over again talking about KR seeking to establish power and growing fearful of Vietnam which they believed wanted to take over Cambodia, also mentions KR policy of "self-reliance", says that bumper harvests were stockpiled for future war and rations were not increased, back to propaganda v-o in English talks of Vietnam "surreptitiously invading" islands and plotting take over and claims that Vietnam started in September 1977 "a series of massive, premeditated and unwarned invasions" with map shown and v-o claims that Vietnamese committed "towering crimes" which awakened the "hatred" of "our people" and says "like fascists they shot our women after raping them" and says their brutality "exceeded" that of Americans; v-o points out that KR's own invasions of Vietnam "were exceptionally barbaric" (with footage of a corpse) and v-o says that "despite these provocations" the Vietnamese did nothing and waited to see what KR were up to for an entire year and trying to create a "new border settlement while ignoring the one they made with Sihanouk" before the war and says that KR "were easily baited" and "launched more belligerent raids", over footage of shells and soldiers, then mentions "punishing invasion" by Vietnamese in 1977 after which they withdrew, but KR were not "sobered" and instead pretended to have won a great victory and claimed that one Cambodian soldier would kill 30 Vietnamese and said "they were ready to sacrifice 2 million Kampucheans in order to wipe out all 50 million of their Vietnamese neighbors" and v-o says that KR now increased "paranoia"; then propaganda v-o takes over and says that "defeated in its militery provocations" KR now resorted to spy networks "to stage abortive coup d'états on six occasions", then footage of some claimed POW who was with the Vietnamese communist party and purportedly confesses to Vietnamese goal to "set up a puppet regime" in Cambodia to join an Indochina federation dominated by Vietnam, then talks about Pol Pot's call to defend "our motherland"; then doc's v-o talks about "bloodiest purges of all" in 1978 in Eastern Zone with a "witchhunt for Vietnamese spies" that led to destruction of Cambodia from within and says "at least 100 000 were slaughtered", with footage of Pol Pot at rally in forest alternating with that of corpses; then v-o, over footage of bones and skulls, says total death toll of KR "can never be known for sure" but "estimates suggest a death toll of at least 700 000 Kampucheans and perhaps as many as one million" [actually current best est. is double this range]; then v-o talks about China which as ally "must have known", then talks about post-Mao purges of the "gang of four", v-o mentions military and intelligence support for KR in their war against Vietnam; then Sihanouk talks about contradiction between Chinese internal and external policy concerning danger of USSR and Vietnam, then talks about KR "gang of four" which he describes as Mr and Mrs Pol Pot and Mr and Mrs Ieng Sary with Khieu Samphan as the fifth but mostly a "figurehead" [Sihanouk seems unaware of the role of Son Sen, Ta Mok, and esp. Nuon Chea], and says China has to support KR because "they can bleed" out the Vietnamese; v-o says that Vietnamese had proved military prowess and refused to bow to China and had angered China when persecuting Chinese minority in Vietnam with hundreds of thousands "were forced to leave as boat people or overland refugees" and v-o says "now their economy was one of the worst but their army one of the largest" and says that "Vietnamese were secretly planning for a new military campaign"; then interview with Nayan Chanda, captioned as "author & journalist", says Vietnamese prepared "to set up a regime in Cambodia" and consulted the Soviets and "signed a treaty of friendship" in 1978 with Soviets; then interview with smoking Alan Dawson sitting by typewriter, captioend as "author & journalist", who talks about "fairly small attack into Vietnam" by KR in 1978 and then Vietnam "decided to go for broke" and decribes the strategy of "blooming lotus" to penetrate deep into Cambodia via three main highways, with footage, with goal to penetrate as quickly as possible which was successful within 2 weeks; then v-o talks of Vietnamese control of Cambodia and Pol Pot's "terror" regime was over, Vietnamese even sought to capture Sihanouk but KR flew him out to China; back to Dawson who says it may be confusing to see communists fighting communists but claims that "Vietnamese control of Indochina is a basic tenet" and was inevitable one way or another [thereby confirming KR conspiracies]; then footage of "Vietnamese government film" whose v-o talks about the empty cities and munitions stockpiles sent by China, also uses the jargon of "Pol Pot-Ieng Sary clique", then footage of "a school" which is in fact S-21 with footage of liberation and corpses on bed, v-o mentions 11 dead bodies in 11 former classrooms and a further body in the yard, footage shows photographs esp. of children, footage of photos of corpses with throats slit; Sihanouk interview says "Pol Pot is mad, you know, like Hitler" and wanted to crush all opposition incl. of communists; back to Vietnamese govt. film which points to the portraits of Pol Pot in S-21 intimating a personality cult [that never was; see Chandler's bio of Pol Pot]; Sihanouk continues comparison between Pol Pot and Hitler, says that Pol Pot has his Himmler; then back to Vietnamese govt. film which shows footage of orphaned and starving children; back to Sihanouk about Pol Pot and Hitler, with footage of crying women, while Sihanouk changes tack and says that Pol Pot's madnees does not "give Vietnamese the permission to colonize and Vietnamize my country" [thus in some way supporting the KR rationale]; Dawson again about Pol Pot seeking to regroup to counterattack and seeking support by Thailand; then doc's v-o about China attacking Vietnam with heavy casualties and eventually being driven out by Vietnamese without needing Soviet help, footage of trucks going into Cambodia with v-o saying that Vietnamese "boasted" the situation in Cambodia is "irreversible" and Vietnamese installing a govt. "of their own choosing" with "former KR army commander" being their "figurehead", Heng Samrin, who had "ironically" fought "barbaric raids" into Vietnam before, "behind the scenes of course the Vietnamese held the reigns of power"; then interview with Steve Heder, introed as "political scholar", who talks about "anything was better than the KR" for the people even if it was Vietnamese and communist; then Cambodians returning to their previous dwellings and looking for family across the country with footage, then talks about famine being the "new nightmare", and claims "hundreds of thousands died during two long years of famine"; Heder again who says by mid-1979 situation was serious and in some areas "half of the population died" and says "maybe half of the villages" were left abandoned and things were looted or deteriorated [paints an exaggerated picture], talks of a "collapse of the irrigation system" which "caused great problems" to agricultural production"; v-o says that "the extent of the famine inside Kampuchea was hidden from the outside world. The new government backed by the Vietnamese was loath to admit that there was any crisis at all" and in 1979 "turned away offers of help from both the Red Cross and the United Nations" with footage of starving and famine was "even more appalling for those who had fled from the Vietnamese. These were the families and followers of Pol Pot's Khmer Rouge who had managed to escape with their leaders to the jungle", talks of lack of medicine and supplies over footage of corpses in jungle, then mentions KR were "finally" allowed to enter Thailand and "for the first time their plight was exposed to the international press and television, suddenly the famine in Kampuchea became headline news" and "at last emergency aid began to flow" with footage of rice distribution, then other refugees fleeing towards border who were "quite separate from the KR" and who called themselves "the free Khmer" and tried to escape famine, KR, and the Vietnamese, with footage of camps that were "ruled by black marketeers and warlords"; then footage of fighting with v-o mentioning attacks on the camps by the Thais, the KR, and the Vietnamese, and "rival guerilla bands", with footage of crying children with artillery in background and v-o says "this time the attack came from Thailand" with 100 dead and footage of dead and wounded children shown, then a man crying about having lost his last remaining child; then footage of music performance shown quite elaborately; then says that despite KR "madness" the "borderlands" were a magnet "because here there was famine relief that Kampucheans could count on" but then says "the lion's share of international aid was eventually shipped to the Vietnamese side, but at the height of the crisis it was the aid that flowed directly across the border that proved to be effective" [omitting that this was a result of anti-Vietnam embargo and geostrategic policy by US, China, and ASEAN], then mentions camps being used as a landbridge to funnel food and goods back into country because "the Vietnamese" had forbidden to use roads or railroads with footage of people transporting goods with "up to 100 000 traffickers" participating in journeys that could take weeks while bandits and Vietnamese soldiers were lying in wait, v-o says Vietnamese turned blind eye because black market "provided a lifeline" [again omitting embargo]; v-o says "ironically Kampuchea had fallen back on capitalism in its crudest form" and says that "the only productive energy worth speaking of was profiteering" and thus there was little incentive to work in govt. or work in agriculture; then someone interviewing Nguyen Co Thach, Vietnamese foreign minister, in Engl. about overthrow of KR in mere 2 weaks but a subsequent famine lasting 2 years "why?", Thach corrects "famine" by "the food situation", points out that they have been torn apart by war for 30 years, compares to WWII and says Cambodia-Vietnam was bombed twice as much and says that "if European countries" needed 5 years to recover "we need at least 30 years", then unidentified reporter asks "why didn't the socialist respond more quickly" to the "immediate crisis", Thach points out starvation was due to Pol Pot who had reigned "since 75" and claims that "the socialist countries have done their best" but also points out that there was help from other, Western countries; Dawson says that "there's no question" that Vietnamese army is "necessary" to "stop a Pol Pot takeover" "but I think the question of Vietnamese total withdrawal simply does not arise" and points to Vietnamese behaviour towards Cambodia over the last few hundred years was to move people over and then follow with the army and now it's reverse so to him "entirely logical to presume" that there will be a "real colonialism" of Indochina dominated by "ethnic Vietnamese"; then Sihanouk talks about Heng Samrin as puppet regime while cartoonish puppets with angry faces are shown [displaying Heng Samrin it seems] while Sihanouk talks of "more and more there are Vietnamese settlers from Vietnam and our people becomes [sic] slaves of Moscow and Hanoi" and compares Cambodia's fate to that of South Vietnam; v-o says that "as an army of occupation" the Vietnamese were "remarkably liberal at first" and "allowed freedom of movement" and Buddhist worship and "they were at pains to disguise their communism from any reminder of Pol Pot's rule, but that was bound to change" and once famine "receded" "the world lost interest" but "the Vietnamese stayed on and the longer they stayed, the longer they bred resentment. They imposed conscription and forced labor" and mentions political prisoners, secret arrests, and torture; then some archival radio broadcast and v-o talk about anti-Vietnamese "resistance", then Sihanouk calls Vietnamese "very imperialist", "very colonialist", followed by footage of sweating Sihanouk at night talking to an audience and saying they will continue the fight; then footage of elderly Sihanouk entering coalition of resistance against "foreign rule" which put him "for the second time' as v-o says into the same camp as the KR, footage of Son Sann who is introed by v-o, then footage of Sihanouk speech about being supported by UN and others while Vietnamese are isolated; another Sihanouk speech to unclear audience who says that he had tried to settle disputes with Vietnamese "peacefully" but now it's too late and he joined the coalition; v-o talks about Sihanouk still being "revered as the living god king" by Cambodians but others not understanding how he could once again join the KR; then Sihanouk says 5 children and 14 of his grandchildren were killed by KR and says "we cannot wipe out the KR and so we have to try to soften their behaviour" and says he tells them "please avoid to be cruel" but also says "I am not sure if they have changed their mind" [!!]; v-o talks about Chinese aid shipped to Thailand to bleed the Vietnamese, v-o points out Pol Pot was crucial to the guerilla war with 40 000 militia, and even when Vietnamese later overran the camps and other resistance factions were weakened the KR fought on; then KR propaganda campaign that "yes some mistakes were made" but that Vietnamese accusations against them of genocide were "conspiracy" and that KR had renounced communism altogether and dissolved the communist party; then Ieng Sary at KR meeting claiming communist party was founded to counter the Vietnamese, interpreter in English says the main purpose was to fight Vietnamese and that the Vietnamese were always against communist KR party [which is entirely false]; then Thai officials at diplomatic meeting but supporting resistance that includes KR together with US and China, but KR cause embarrassment, so Sihanouk is put at the helm of reistance representation; interview with Sihanouk who talks about continuing the tradition of "ancient Khmer kings", speaks at dining table, then Sihanouk at official rally protected by military, video of Sihanouk being interviewed in forest while v-o talks about Sihaouk continual attempts to resign then actually resigning in 1987 and beginning talks with the Heng Samrin "regime" and the Vietnamese; long scene with Sihanouk on golden reading effectively a letter of praise about himself that ends with statement the Sihanouk leading the country would be the best option right now, Sihanouk apologizes bashfully and says a "diplomat" Sylvana Foa [actually a US journalist] wrote this, he asks viewers and filmmakers to ask Lon Nol if he could go back to the starting point would he ousting Sihanouk and then destroy the country in civil war, long scene of Sihanouk after reading the letter staring down; end;		archival, direct (Ieng Sary)	M	political opposition, communist ideology	China	archival	urbanites, middle-class, Eastern Zone	none	FALSE	H		
Dreams and Nightmares: Cambodia Ten Years After Pol Pot	1989	Tom Fawthrop	Cambodia	0	en	30	Channel 4	UK			[largely on civil war; gives KR death toll at more than 1 million people; mentions American bombing as sparking the KR surge; shows S-21 and compares to Nazi atrocities but says that while Nazis were prosecuted Pol Pot is not on the "wanted list of any Western govt" (all over footage of piles of bones and skulls); then largely focused on politics and life in Cambodia after 1979; includes interview with Hun Sen and is largely focused on Hun Sen, election politics etc.]				American bombing sparks KR rise, political ideology								
Cambodia: Year Ten	1989	David Munro	Cambodia	0	en	52	ITV	UK	VIMEO	https://vimeo.com/16367752													
Samsara	1989	Ellen Bruno	Cambodia	0.5	en	29	Transit Media	US	DVD		[mostly about the spirits of the dead] opens with prophecy of a Cambodia without religion and empty cities [supposedly made by monks, see also Gerrand interview with Sihanouk]; then intertitle giving brief summary of Cambodian history under KR; footage of S-21; various survivors talk about the spirits of the dead; footage of tower of skulls and bones; v-o of survivors or of an undefined "we" speaking in similes; footage of survivors of mines; offers happy end when after long dry season that endangered harvests film ends with footage of rain	none	Khmer Rouge cadres				direct, archival		F, M	FALSE	H		
Site 2	1989	Rithy Panh	Cambodia	0	fr, Khmer	92		France	DVD		[on refugee camp with 180 000 refugees on Thai border, but includes testimony by female KR survivor Yim Om about KR times although most of the film is about the daily life in the refugee camp]						direct		F				
Inside the Khmer Rouge	1990	David A. Feingold, Shari Robertson	Cambodia	0	en	45	Documentary Educational Resources	US	VOD	https://store.der.org/inside-the-khmer-rouge-p749.aspx													
Cambodia: The Betrayal	1990	David Munro	Cambodia	0	en	52	ITV	UK	VIMEO	https://vimeo.com/16367212													
Cambodge, entre guerre et paix (Cambodia: Between War and Peace)	1992	Rithy Panh	Cambodia	0	fr, Khmer	64	TV production	Cambodia, France		Bophana	[on Cambodia's transition in 1990s but also a number of survivors testifying						direct, archival		F, M				
Cambodia: Return to Year Zero	1993	David Munro	Cambodia	0	en	51	ITV	UK	VIMEO	https://vimeo.com/16366664	[about UNTAC period]												
Bophana, une tragédie cambodgienne (Bophana. A Cambodian Tragedy)	1996	Rithy Panh	Cambodia	0.5	fr	59		Cambodia, France	DVD		mentions sexual violence by Lon Nol soldiers who raped Bophana from which she got pregnant; mentions purges of KR moderates, incl. Koy Thuon; interview with executioner Him Houy who is confronted by survivor Vann Nath (who wrote in his memoir that Houy was one of the most brutal executioners) and Nath shows Houy his paintings of the brutal torture at S21 and asks Houy if these paintings, that include death of children, are accurate and correct and Houy affirms that they are, Nath says it's of great importance that Houy is sure that paintings are accurate, and says again "all the paintings here-I did not make things up", and continues showing paintings to Houy who continues to affirm their truthfulness; then Houy alone at S21, explains shackling of prisoners and torture and interrogations, then at Choeung Ek Houy claims to have only killed "five", using an iron bar, and only under orders from Duch when Duch was present at Choeung Ek, otherwise he merely kept records; Bophana's mother says now she knows that her children are dead; then title cards about Ly Sitha, "destroyed" in 1977, aged 27, and Bophana "destroyed" in 1977, aged 25, credits	direct, archival	S21 security personnel, Khmer Rouge cadres	M			direct		M, F	TRUE (Lon Nol perpetrated)	T/H		
Pol Pot. Secret Killer	2000		Cambodia	0	en	50	A&E	US			[part of series "Biography"												
Pol Pot et les Khmers Rouges (The Khmer Rouge: Power and Terror)	2001	Adrian Maben	Cambodia	0.5	fr, en	156			DVD		last interview with Pol Pot	direct, reenactment	Khmer Rouge cadres										
The Flute Player	2003	Jocelyn Glatzer	Cambodia	1	en	51	Over the Moon Productions, PBS, The National Asian American Telecommunications Association	US	FILE		[part of PBS Global Voices programming; on perp-victim Arn Chorn-Pond] opens with man playing flute, then in v-o he says he started playing flute in Cambodia under KR (with footage of child in coffin), says he was a prisoner in KR labor camp (footage of injured children [originally likely from refugee camp attack after 1979]); then title card; then he says he is "trying very hard to make some peace with my past"; then protagonist introed as Arn Chorn-Pond; then protagonist meets Cambodians in Massachusetts and teaches them traditional musical instruments, one student raps in Engl., in v-o Chorn-Pond says he's trying to keep culture alive because so much was destroyed; then in v-o with footage talks about American bombing, then footage of Pol Pot and v-o says they "trusted" KR but things turned into a "nightmare" once they took over, says he was the "lucky one" because adopted by American minister in 1980, says he tried to forget but was "depressed and was suicidal", then footage Pilger's Year Zero contrasted with photo of him with white American boys at tennis; then Chorn-Pond testimony at Amnesty International 1984, says he was 9 when recruited by the KR, cries, followed by other footage and photos of him becoming a spokesperson; then C-P en route to Cambodia to recruit Cambodian masters of traditional instruments to keep traditional music alive; then footage of Phnom Penh dirt road and then of temporary housing elsewhere; then C-P to meet Master Kung Nai, an elderly man who seems blind, playing a guitar-like instrument and sings, then interviewed about his life says before KR he was very successful and would never have imagined such a popular art form would die, under KR rule he had to sing about landowners and capitalist exploitation of poor people and the "greatness" of KR, says he is still afraid to sing about politics and performs stories and fables, then sings again about adventurous life of a boy named Arn who was an orphan who fled his country to US; then C-P on motorcycle in street; then lesson by master musicians to young Cambodians (mostly boys) who say their friends it's uncool they play such old instruments; then C-P tells of KR arrival in Phnom Penh (over the usual archival footage of gun wielding KR man in Phnom Penh); says he was separated from family later with separation acc. to gender; says "killing was everywhere" esp. lawyers, teachers, former soldiers, artists, people with light skin, over archival footage of various corpses likely taken after 1979; then intro of older female master Check Mach who sings, C-P in v-o says Mach was famous opera singer before KR, then she recounts her own story in Khmer with engl. subs says everything changed with Pol Pot, says she survived by hiding in high rice stalk and singing and people bringing her food during KR; then recording session with C-P, Mach, and elderly male Master Yim Saing who acc. to C-P was the most famous flute player in Cambodia and professor at the School of Fine Arts, but when KR came he said he cut hair because he was afraid and so he cut soldiers' hair the next day; C-P also talks to Saing's wife who was forcibly married with Saing, she says if she hadn't married Saing she would have been killed, her previous husband was killed because he "was a general in the pro-American army"; archival footage of Cambodians in KR attire while C-P talks about having to work in labor camp from 4 am to 12 at night, says he saw KR "playing games with the dead", over more archival footage of corpses, says some kids were made to kill their own parents and "at least I didn't have to do that"; then middle aged male Master Nong Chok sings about lost "sweetheart", he turns out to be C-P's cousin and C-P asks him about his family and Chok says C-P is very similar to his father; then footage of Cambodian opera while C-P says his family was starved to death "just because they were artists"; then S21 photos whiel C-P says he would have been killed as well if KR had known he came from opera family, but his musical skills ended saving his life when KR started musical group he volunteered and played propaganda songs on flute and says this saved him because he got better food and didn't have to work in the fields anymore and he got a music teacher "who was just like a father to me" and they helped each other survive; then Master Youn Mec, performing with C-P, who then talks in Khmer with Engl. subs he met C-P in 1977 in KR labor camp and was his teacher and secretly taught C-P traditional songs, says C-P stood out because C-P would share his food with others and was always friendly and had a "special ability" to be "liked by everybody, even very bad leaders"; then Choeung Ek killing fields visit by C-P, says he for almost half the KR reign he had to help undress victims before killings and that way had to help with killings and says he thinks of himself as "both a perpetrator and a victim", later at age 14 he was given an AK-47 to fight off Vietnamese (footage of war), and when other boys were killed he ran off into the jungle and ate whatever monkeys ate and after a few months managed to get to Thailand where he met adopted father; then goes to a rural village, with several men with war injuries shown, to meet someone who was forced to kill many people when very young under KR, C-P meets man possibly slightly older than C-P; C-P says "no matter where I go, I still remember that the KR forced me to kill people. I remember removing the victims' clothing. If I didn't do that I didn't know what would happen to me", then tells man "I don't want to know if you killed or not, I want to know how you deal with your anger, your guilt", man sits in silence then says it was "hard to know right and wrong", says he "didn't want to be involved" but in the end "couldn't escape", says "there's definitely guilt. I feel ashamed and disappointed" and "I feel remorse", he doesn't feel like "it's over"; C-P hugs man, then leaves; then C-P crying to camera says he doesn't know whether anyone will say about this man that "he was a good person" and says he went to give him a hug and that he wanted the man to know someone else who has been through something similar; then C-P at temple lighting incense; then at Angkor Wat and overall temples area with various footage of temples and performers at temples recording music; Mec says he is very proud to be part of the revival of traditional music in Cambodia; then C-P finding more masters everyday over footage of C-P with man play a form of lying down guitar while C-P says in v-o he is happy to help with revival but says he is doing this also for himself and "want to make my life meaningful for those people who died. I don't do this work, what would I live for?"; then C-P at a an event says goodbye until in 6 months, with footage of various performances and people dancing; C-P says the masters and the students are now his "family"; then title card sequence over footage of C-P with various masters with Kung Nai now performing regularly, Youn Mec and his students perform at weddings and ceremonies, Yim Saing makes and sells traditional flutes, Nong Chok teaches voice and plans to revive Chorn opera, Check Mach recorded 40 songs with master's program and passed away in 2003; then C-P ends with hoping that someday Cambodia will be known not for killing fields and conflict but arts and culture just like in ancient times of Angkor Wat; credits	direct	KR	M	political opposition, communist ideology		direct, archival	lawyers, teachers, former soldiers, artists, people with light skin	F, M	FALSE (but mention of forced marriages)	H		
